unique_id,metric,AutoTiDE,AutoBiTCN,AutoDeepNPTS,AutoLSTM,AutoNHITS,AutoTFT,AutoMLP,AutoNBEATSx,best_model
OT_w751_exogenous_process_rollcorr,mse,0.0677974242392138,0.06815698209664232,0.06895140786948196,0.07985446791063257,0.07970236834220687,0.07634830521837072,0.06967013963340062,0.07428422105839694,AutoTiDE
OT_w751_exogenous_process_rollcorr_inverted,mse,0.0677974242392138,0.06815698209664232,0.06895140786948196,0.07985446791063257,0.07970236834220687,0.07634830521837072,0.06967013963340062,0.07428422105839694,AutoTiDE
OT_w751_exogenous_process_rollcov,mse,0.0677974242392138,0.06817141607779025,0.06905895280348037,0.07985199634294955,0.0796896669961482,0.07605953735605821,0.0697355253265257,0.07397401487912013,AutoTiDE
OT_w751_exogenous_process_rollcov_inverted,mse,0.0677974242392138,0.06817141607779025,0.06905895280348037,0.07985199634294955,0.0796896669961482,0.07605953735605821,0.0697355253265257,0.07397401487912013,AutoTiDE
OT_raw,mae,0.1964335952822511,0.1982532854101626,0.198060633255849,0.21777357798071537,0.21519281533202492,0.20775201248701528,0.20267407746758243,0.20589799307738454,AutoTiDE
OT_w1001_exogenous_process_dtw,mae,0.1964335952822511,0.1983104361362201,0.19817821827216645,0.21777262353150495,0.21485144160502498,0.20768644423358196,0.2026433248661703,0.20590322559587534,AutoTiDE
OT_w1001_exogenous_process_dtw_inverted,mae,0.1964335952822511,0.1983104361362201,0.19817821827216645,0.21777262353150495,0.21485144160502498,0.20768644423358196,0.2026433248661703,0.20590322559587534,AutoTiDE
OT_w1001_exogenous_process_entropy,mae,0.1964335952822511,0.19833416736337742,0.1983734836183577,0.21777323290094358,0.21461048204758912,0.20800534871976853,0.20292528898969606,0.2065229761980847,AutoTiDE
OT_w1001_exogenous_process_entropy_inverted,mae,0.1964335952822511,0.19833416736337742,0.1983734836183577,0.21777323290094358,0.21461048204758912,0.20800534871976853,0.20292528898969606,0.2065229761980847,AutoTiDE
OT_w1001_exogenous_process_farm,mae,0.1964335952822511,0.19824045569058368,0.19793830814201363,0.21777337927975848,0.2152907466656529,0.20800461972868312,0.20269364759565467,0.20605581450233695,AutoTiDE
OT_w1001_exogenous_process_mutual_info,mae,0.1964335952822511,0.19807665548964798,0.19871442896505437,0.217767171126167,0.2137466497732313,0.20748188845624546,0.20285328799895577,0.2060704848221732,AutoTiDE
OT_w1001_exogenous_process_mutual_info_inverted,mae,0.1964335952822511,0.19807665548964798,0.19871442896505437,0.217767171126167,0.2137466497732313,0.20748188845624546,0.20285328799895577,0.2060704848221732,AutoTiDE
OT_w1001_exogenous_process_rollcorr,mae,0.1964335952822511,0.19822376789943558,0.19782107706731605,0.21778102808088562,0.21422400666555877,0.20814555071595398,0.2024130180815143,0.20614664404165162,AutoTiDE
OT_w1001_exogenous_process_rollcorr_inverted,mae,0.1964335952822511,0.19822376789943558,0.19782107706731605,0.21778102808088562,0.21422400666555877,0.20814555071595398,0.2024130180815143,0.20614664404165162,AutoTiDE
OT_w1001_exogenous_process_rollcov,mae,0.1964335952822511,0.19822360518946586,0.19794664347752078,0.21777466349675156,0.21490268157629042,0.20776576991391377,0.2025892605217366,0.20603737145448953,AutoTiDE
OT_w1001_exogenous_process_rollcov_inverted,mae,0.1964335952822511,0.19822360518946586,0.19794664347752078,0.21777466349675156,0.21490268157629042,0.20776576991391377,0.2025892605217366,0.20603737145448953,AutoTiDE
OT_w1251_exogenous_process_dtw,mae,0.1964335952822511,0.19832312062716387,0.19835457591247602,0.21777139198639842,0.21443113411761994,0.20751979059019132,0.20275271998028882,0.20590035239003995,AutoTiDE
OT_w1251_exogenous_process_dtw_inverted,mae,0.1964335952822511,0.19832312062716387,0.19835457591247602,0.21777139198639842,0.21443113411761994,0.20751979059019132,0.20275271998028882,0.20590035239003995,AutoTiDE
OT_w1251_exogenous_process_entropy,mae,0.1964335952822511,0.1979863066482127,0.19800096509550574,0.21777141623048116,0.21480757533783068,0.20725563790373558,0.20246534096947516,0.20647183487514442,AutoTiDE
OT_w1251_exogenous_process_entropy_inverted,mae,0.1964335952822511,0.1979863066482127,0.19800096509550574,0.21777141623048116,0.21480757533783068,0.20725563790373558,0.20246534096947516,0.20647183487514442,AutoTiDE
OT_w1251_exogenous_process_farm,mae,0.1964335952822511,0.19825953877031027,0.19805281921610543,0.21777568700568498,0.21531995531773715,0.2077913220999633,0.20271628998454322,0.2061700635477664,AutoTiDE
OT_w1251_exogenous_process_mutual_info,mae,0.1964335952822511,0.1979906091301179,0.19935505878467824,0.21775194461052644,0.21498588065010601,0.206832146287691,0.2024636019759477,0.2063366768371514,AutoTiDE
OT_w1251_exogenous_process_mutual_info_inverted,mae,0.1964335952822511,0.1979906091301179,0.19935505878467824,0.21775194461052644,0.21498588065010601,0.206832146287691,0.2024636019759477,0.2063366768371514,AutoTiDE
OT_w1251_exogenous_process_rollcorr,mae,0.1964335952822511,0.19827585642510343,0.197559809563704,0.2177780442032014,0.21506747599326462,0.20828567418882668,0.2026689014463997,0.20608459402683366,AutoTiDE
OT_w1251_exogenous_process_rollcorr_inverted,mae,0.1964335952822511,0.19827585642510343,0.197559809563704,0.2177780442032014,0.21506747599326462,0.20828567418882668,0.2026689014463997,0.20608459402683366,AutoTiDE
OT_w1251_exogenous_process_rollcov,mae,0.1964335952822511,0.19823566034307752,0.19787155174912416,0.2177746526663249,0.2152779178571579,0.2078102678673811,0.2026934334666992,0.20605401452615082,AutoTiDE
OT_w1251_exogenous_process_rollcov_inverted,mae,0.1964335952822511,0.19823566034307752,0.19787155174912416,0.2177746526663249,0.2152779178571579,0.2078102678673811,0.2026934334666992,0.20605401452615082,AutoTiDE
OT_w1501_exogenous_process_dtw,mae,0.1964335952822511,0.1982971679503257,0.19835316057515706,0.21777034564418832,0.21428294931977435,0.2072655607290642,0.2027361268292354,0.20588190324569816,AutoTiDE
OT_w1501_exogenous_process_dtw_inverted,mae,0.1964335952822511,0.1982971679503257,0.19835316057515706,0.21777034564418832,0.21428294931977435,0.2072655607290642,0.2027361268292354,0.20588190324569816,AutoTiDE
OT_w1501_exogenous_process_entropy,mae,0.1964335952822511,0.19800003815848313,0.19805542566753115,0.21777149756210334,0.21494658155920487,0.20767464307981479,0.20265013435159793,0.2063547371103105,AutoTiDE
OT_w1501_exogenous_process_entropy_inverted,mae,0.1964335952822511,0.19800003815848313,0.19805542566753115,0.21777149756210334,0.21494658155920487,0.20767464307981479,0.20265013435159793,0.2063547371103105,AutoTiDE
OT_w1501_exogenous_process_farm,mae,0.1964335952822511,0.1982411367934957,0.19822609788656775,0.21777321101540964,0.21533604965128147,0.20779145973112248,0.20273501402709512,0.20612070617749398,AutoTiDE
OT_w1501_exogenous_process_mutual_info,mae,0.1964335952822511,0.19805068196291237,0.19845733362834453,0.2177627059396255,0.21502804444431764,0.206850476437067,0.20212499731616132,0.20561674347388567,AutoTiDE
OT_w1501_exogenous_process_mutual_info_inverted,mae,0.1964335952822511,0.19805068196291237,0.19845733362834453,0.2177627059396255,0.21502804444431764,0.206850476437067,0.20212499731616132,0.20561674347388567,AutoTiDE
OT_w1501_exogenous_process_rollcorr,mae,0.1964335952822511,0.19805692344192083,0.1982736584199556,0.2177743756726173,0.21442861116634307,0.2078768178401255,0.2026055042365137,0.2064635094574582,AutoTiDE
OT_w1501_exogenous_process_rollcorr_inverted,mae,0.1964335952822511,0.19805692344192083,0.1982736584199556,0.2177743756726173,0.21442861116634307,0.2078768178401255,0.2026055042365137,0.2064635094574582,AutoTiDE
OT_w1501_exogenous_process_rollcov,mae,0.1964335952822511,0.19813658570461115,0.19814980729984155,0.21777427111658482,0.21498277143948785,0.2077148279206647,0.20266030593881626,0.20626637705180909,AutoTiDE
