,dataset,horizon,shaping_process,shaping_window,model,metric,value
2,ETTh1,192,pentropy,1001,BiTCN,rmse,0.3017357043242159
2,ETTh1,192,pfarm,751,DeepNPTS,rmse,0.3016684354083233
2,ETTh1,192,pmutual_info,501,BiTCN,rmse,0.3016676374704453
2,ETTh1,192,ipmutual_info,1251,TSMixerx,rmse,0.3016369087626012
2,ETTh1,192,prollcov,1001,LSTM,rmse,0.3016317289799646
2,ETTh1,192,ipmutual_info,1501,BiTCN,rmse,0.3016214726813159
2,ETTh1,192,ipmutual_info,501,BiTCN,rmse,0.3016164764438731
2,ETTh1,192,pentropy,501,BiTCN,rmse,0.3015798084656376
2,ETTh1,192,iprollcov,1501,BiTCN,rmse,0.3015779402884183
2,ETTh1,192,iprollcorr,1251,BiTCN,rmse,0.3015571690508609
2,ETTh1,192,iprollcorr,751,BiTCN,rmse,0.3015433951911753
2,ETTh1,192,ipmutual_info,1251,BiTCN,rmse,0.3015327872657268
2,ETTh1,192,pfarm,751,TSMixerx,rmse,0.3015179978710653
2,ETTh1,192,iprollcov,1251,BiTCN,rmse,0.3014824270037997
2,ETTh1,192,ipmutual_info,1001,BiTCN,rmse,0.3014681196290207
2,ETTh1,192,prollcorr,1251,BiTCN,rmse,0.3014387647122964
2,ETTh1,192,pentropy,1501,BiTCN,rmse,0.3014383420907592
2,ETTh1,192,iprollcov,1001,BiTCN,rmse,0.301428083086776
2,ETTh1,192,iprollcorr,501,BiTCN,rmse,0.3014267007733243
2,ETTh1,192,iprollcov,501,BiTCN,rmse,0.3014084308517021
2,ETTh1,192,prollcov,1501,BiTCN,rmse,0.3013976296744103
2,ETTh1,192,ipentropy,1501,BiTCN,rmse,0.3013867381638416
2,ETTh1,192,ipmutual_info,751,BiTCN,rmse,0.3013835277239993
2,ETTh1,192,prollcorr,1501,BiTCN,rmse,0.3013695499111372
2,ETTh1,192,ipentropy,1251,BiTCN,rmse,0.3013655375092042
2,ETTh1,192,pfarm,751,BiTCN,rmse,0.3013628676893592
2,ETTh1,192,iprollcov,751,BiTCN,rmse,0.3013410322105724
